500,1077,1
1106,1291,1
1353,1522,1
1522,1622,3
1622,1673,1
1673,1768,3
1768,1840,1
1867,1945,1
1945,1992,3
1992,2035,1
2653,2711,1
2711,2782,3
2782,2812,1
2812,2848,3
2848,3011,1
3011,3036,3
3072,3138,1
3138,3555,3
4897,4945,1
4945,5135,3
5135,5248,1
5248,5368,3
5368,5525,1
5525,5820,3
6261,6313,1
6313,6396,3
6396,6416,1
6416,6456,7
6456,6546,3
6546,6598,1
6598,6645,3
6786,6962,1
6962,7093,4
7120,7166,1
7166,7271,4
7372,7448,1
7448,7531,4
7772,7860,1
8212,8292,1
8292,8546,4
8587,8651,1
8651,8735,4
8763,8861,1
8861,8981,4
9014,9108,1
9108,9232,4
9272,9590,1
9590,9686,4
9715,9734,1
9734,10053,4
10082,10117,3
10117,10163,1
10163,10221,3
10221,10332,1
10332,10747,4
10908,11105,1
11105,11192,5
11192,11230,1
11250,11306,1
11306,11510,5
12361,12440,1
12440,12492,5
12492,12577,1
12588,12641,1
12641,12778,5
12837,12877,1
12877,12934,1
12934,12954,1
12954,12985,1
12985,13055,1
13055,13065,1
13065,13216,5
13266,13326,1
13326,13468,5
13468,13587,1
14230,14290,1
14290,14477,5
14477,14586,1
